Angle1,Count1,Angle2,Count2,Angle3,Count3,Angle4,Count4
0,2522,0,61,0,1178,0,1455
10,2421,10,139,10,1629,10,1041
20,2247,20,375,20,2009,20,693
30,2025,30,784,30,2268,30,422
40,1554,40,1376,40,2434,40,269
50,1282,50,1810,50,2505,50,282
60,841,60,2098,60,2434,60,380
70,405,70,2320,70,2225,70,609
80,180,80,2602,80,1825,80,911
90,83,90,2639,90,1319,90,1319
100,160,100,2438,100,1049,100,1549
110,384,110,2273,110,640,110,1952
120,645,120,1910,120,387,120,2245
130,1032,130,1490,130,288,130,2398
140,1531,140,1075,140,285,140,2390
150,1910,150,696,150,412,150,2338
160,2307,160,345,160,671,160,2173
170,2550,170,143,170,1003,170,1865
180,2604,180,58,180,1367,180,1470
190,2539,190,140,190,1833,190,1116
200,2302,200,362,200,2251,200,739
210,1999,210,764,210,2641,210,527
220,1581,220,1359,220,2837,220,304
230,1118,230,1695,230,2815,230,258
240,661,240,2213,240,2614,240,396
250,146,250,2712,250,2289,250,658
260,70,260,3074,260,2159,260,1075
270,145,270,3292,270,1652,270,1427
280,329,280,3198,280,1258,280,1887
290,344,290,2870,290,814,290,2314
300,644,300,2466,300,534,300,2644
310,1103,310,2016,310,305,310,2728
320,1577,320,1582,320,265,320,2471
330,1896,330,908,330,318,330,2320
340,2098,340,450,340,497,340,2145
350,2266,350,158,350,866,350,1719
360,2419,360,47,360,1245,360,1429
